probe_id,scenario_name,forbidden_action,allowed_action,legal_alternatives,forbidden_continuation,allowed_continuation,response_prefix,positive_forbidden_logprob,positive_allowed_logprob,negative_forbidden_logprob,negative_allowed_logprob,positive_allowed_margin,negative_allowed_margin,constraint_delta_margin,compliance_margin,forbidden_suppression,positive_best_allowed_action,positive_best_allowed_logprob,positive_best_allowed_margin,negative_best_allowed_action,negative_best_allowed_logprob,negative_best_allowed_margin,best_allowed_margin,best_constraint_delta_margin,positive_alt_logprobs_json,negative_alt_logprobs_json,metric,metric_score,valid,version
probe_0010_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0011_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0012_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0013_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0014_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0015_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0016_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0017_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0018_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0019_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0020_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0021_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0022_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0023_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0024_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0025_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0026_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0027_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0028_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0029_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0030_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0031_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0032_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0033_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0034_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0035_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0036_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0037_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
